Wavelength (nm)	Reflectance
200	0.6408375
201	0.6226174
202	0.602805
203	0.5817164
204	0.5597803
205	0.5376063
206	0.5159316
207	0.495638
208	0.4776542
209	0.4629021
210	0.4521674
211	0.446082
212	0.4462349
213	0.4523695
214	0.4637287
215	0.4792384
216	0.4974214
217	0.5173422
218	0.5379822
219	0.5584997
220	0.5782498
221	0.5965768
222	0.6133814
223	0.6284461
224	0.641572
225	0.6527656
226	0.6619704
227	0.6693498
228	0.6749767
229	0.6788547
230	0.6811935
231	0.682169
232	0.6819752
233	0.6807187
234	0.6787233
235	0.6761159
236	0.6730102
237	0.6696065
238	0.6662907
239	0.6628114
240	0.6591646
241	0.6556601
242	0.6519466
243	0.6477549
244	0.6430127
245	0.637443
246	0.630969
247	0.6235697
248	0.6150014
249	0.6055831
250	0.595403
251	0.5845793
252	0.5733973
253	0.5620108
254	0.5507503
255	0.5398793
256	0.5297695
257	0.5208435
258	0.513183
259	0.5074057
260	0.5036007
261	0.501831
262	0.5005827
263	0.5012946
264	0.504293
265	0.5094367
266	0.5158174
267	0.523907
268	0.5328605
269	0.5430385
270	0.5536061
271	0.5640306
272	0.5745685
273	0.5847486
274	0.594381
275	0.6035033
276	0.6120866
277	0.6201951
278	0.6277704
279	0.6347913
280	0.6414406
281	0.6475652
282	0.6532429
283	0.6585429
284	0.6633691
285	0.6674879
286	0.6704916
287	0.6725917
288	0.6726523
289	0.6714086
290	0.668629
291	0.6650941
292	0.6609932
293	0.6566981
294	0.6523206
295	0.647948
296	0.643734
297	0.6395568
298	0.6354805
299	0.6315165
300	0.6275263
301	0.623504
302	0.6194541
303	0.6153888
304	0.6112074
305	0.6069235
306	0.6025066
307	0.5979584
308	0.5932861
309	0.5884944
310	0.5834968
311	0.5783856
312	0.5731013
313	0.567658
314	0.5620131
315	0.5561817
316	0.5501691
317	0.5439632
318	0.537585
319	0.5310038
320	0.5242331
321	0.5172584
322	0.5100731
323	0.5026904
324	0.4951733
325	0.4874997
326	0.4796313
327	0.4716282
328	0.4635232
329	0.4552865
330	0.4469479
331	0.4385585
332	0.4301159
333	0.4216326
334	0.41314
335	0.4047039
336	0.3963999
337	0.3881559
338	0.3800094
339	0.3720162
340	0.3642366
341	0.3567375
342	0.3494779
343	0.342522
344	0.335939
345	0.3297663
346	0.3240327
347	0.3187922
348	0.3140834
349	0.3099346
350	0.3063883
351	0.3034603
352	0.3012361
353	0.2997869
354	0.2990586
355	0.2990854
356	0.2997714
357	0.3011421
358	0.3031775
359	0.3055857
360	0.3084196
361	0.311466
362	0.314743
363	0.3180607
364	0.3212656
365	0.3243852
366	0.3271813
367	0.3298116
368	0.3321947
369	0.3345614
370	0.3366624
371	0.3388041
372	0.3408139
373	0.3428069
374	0.3446306
375	0.3463999
376	0.3481789
377	0.3498737
378	0.3517622
379	0.3537576
380	0.3558342
381	0.3579935
382	0.3601796
383	0.3624532
384	0.3648701
385	0.3672394
386	0.3698046
387	0.3723045
388	0.3748643
389	0.3774437
390	0.3799569
391	0.382586
392	0.3851033
393	0.3876681
394	0.3901975
395	0.3926427
396	0.3951655
397	0.3975607
398	0.3999412
399	0.4022584
400	0.4044547
401	0.4066712
402	0.4087568
403	0.4107879
404	0.412775
405	0.4146313
406	0.416396
407	0.4180384
408	0.4195816
409	0.4211424
410	0.422576
411	0.4239412
412	0.425247
413	0.4264286
